Category,Country of Nationality,Arrivals (in Numbers),Delhi (Airport),Mumbai (Airport),Chennai (Airport),Haridaspur Land Checkpost,Bengaluru Airport,Kolkata Airport,Hyderabad Airport,Cochin Airport,Others
East Asia,Republic Of Korea,150536,54.8,13.7,13.9,0,7.7,1.9,1.7,0.7,5.6
East Asia,Taiwan,49457,57.3,11.8,8,0,8.8,2.4,1.8,0.8,9.1
East Asia,Others,6571,71.9,5.4,1.8,0,13.9,1.9,0.6,0.4,4.1
East Asia,Total,724568,55.7,16.7,8.8,0,8.2,3.6,1.9,0.7,4.4
Australasia,Australia,346486,38.2,15.7,8.6,0,8.5,3,6.4,8.6,11
Australasia,New Zealand,60664,39.9,25,6.4,0,6.6,2.6,5.7,6.6,7.2
Australasia,Others,5478,44.6,27.1,13.6,0,3.5,4.1,3,1.1,3
Australasia,Total,412628,38.5,17.2,8.3,0,8.1,2.9,6.3,8.4,10.3
Not Classified Elsewhere,Not Classified Elsewhere - Total,10037,51.1,15.1,11.3,0,8.6,3,3.5,2.1,5.3
Grand Total,Grand Total,10557976,28.8,15.7,7.5,9.8,5.8,5.1,3.1,3.2,21
